referenceid	timestamp_started	timestamp_finished	trial_id	doi	pmid	url	trial_phase_final	latest_version_date	results_posted	results_posted_date	p_outcome_final	s_outcome_final	reviewer_comment	pub_outcome_phrasing	outcome_determined	pub_outcome_change_new_primary	pub_outcome_change_primary_from_secondary	pub_outcome_change_change_measurement	pub_outcome_change_change_aggregation	pub_outcome_change_change_timing	pub_outcome_change_added_measurement	pub_outcome_change_added_aggregation	pub_outcome_change_added_timing	pub_outcome_change_omitted_measurement	pub_outcome_change_omitted_aggregation	pub_outcome_change_omitted_timing	pub_outcome_change_primary_to_secondary	pub_outcome_change_primary_omitted	pub_outcome_change_no_change	pub_outcome_reference_binary	pub_outcome_reference	pub_outcome_time	pub_sig_outcome	pub_sig_comment	pub_sig_pvalue
13	2022-05-02 06:45:42	2022-05-10 05:30:13	DRKS00000555	10.1017/s0007114515002950	26328470	https://www.ncbi.nlm.nih.gov/pubmed/26328470	post_publication	2018-06-14	NA	NA	[""Systolic and diastolic blood pressure; measurement at the beginning of the study, after 3 and after 6 weeks; measurement at the upper arm with a validated blood pressure instrument according to the method of Riva Rocci and Korotkow""]	[""Endothelial function (measurement with Endo-PAT), parameter of oxidation (oxidized LDL, F2 isoprostanes), parameter of inflammation (CRP, endothelial adhesion molecules), parameter of lipid (triglycerides, cholesterol, LDL-, HDL-cholesterol) and glucose metabolism (glucose, insulin), plasma quercetin concentration; measurement of the secondary outcomes at the beginning of the study and after 6-week of supplementation""]	They only mention &quot;arterial BP&quot; explicitly as primary outcome. However, they report many different types of BP measurements (e.g., 24h), and I find it not clear which one is the primary.	Discussion: &quot;The aim of this double-blinded, placebo-controlled, cross-over intervention study was to systematically investigate the effects of quercetin on arterial BP (primary variable)&quot;\n\nAbstract: &quot;We investigated the effects of quercetin after regular intake on blood pressure (BP) in overweight-to-obese patients with pre-hypertension and stage I hypertension. (...)&quot;\n\nMethods: &quot;Sample size was calculated based on office BP data from our previous trial and expected changes in SBP. &quot; (...) &quot;Measurements of office BP and heart rate were obtained using an automatic BP measurement device (boso carat professional, Bosch+Sohn) under standardised conditions according to the recommendations of the American Heart Association Council on High Blood Pressure Research. Each participant sat quietly for 5–10 min, after which their arm was placed at heart level and SBP and DBP were measured at least twice in 3- to 5-min intervals. If BP measurements varied by 10 mmHg, an additional measurement was performed. The accumulated measurements were then averaged to determine overall SBP and DBP. The mean arterial pressure (MAP) was calculated as follows: (DBP+1/3 (SBP?DBP)).&quot;		0	0	0	0	0	0	0	0	0	0	0	0	0	1	NULL	NULL		not_significant	In the total group, quercetin did not significantly affect 24 h ABP parameters and office BP. In the subgroup of hypertensives, quercetin decreased 24 h systolic BP by ?3·6 mmHg (P=0·022) when compared with placebo (mean treatment difference, ?3·9 mmHg; P=0·049). 	NULL
24	2022-05-02 06:48:19	2022-05-10 06:06:33	NCT00827983	10.1016/j.fertnstert.2013.09.010	24140033	https://www.ncbi.nlm.nih.gov/pubmed/24140033?dopt=Abstract	post_completion	2013-01-28	TRUE	2012-11-26	[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Ongoing Pregnancy Rate at the End of the Study\\n[ Time Frame: 10 weeks after treatment start ]""}]	[{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Delivery Rate and Live Birth Rate\\n[ Time Frame: nearly 9 month after treatment start ]""},{""section"":""Secondary Outcome Measures:"",""label"":""2."",""content"":""Implantation Rate\\n[ Time Frame: Four to five weeks after oocytes retrieval ]\\n\\nImplantation rate was defined as the mean of the total number of gestational sacs seen divided by the total number of embryos transferred. Values are reported as a percentage.""}]	NULL	&quot;The primary end point, ongoing pregnancy rates at 10 weeks of treatment were 27.4% and 30.5% in the Prolutex and Crinone groups, respectively (intention to treat [ITT]). The nonsignificant difference between the groups was ?3.09% (95% confidence interval [CI] ?9.91–3.73), indicating noninferiority of Prolutex to Crinone.&quot; &quot;The primary efficacy variable was the proportion of patients who were pregnant 10 weeks after the start of treatment.&quot;	explicit	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL		not_significant	&quot;The primary end point, ongoing pregnancy rates at 10 weeks of treatment were 27.4% and 30.5% in the Prolutex and Crinone groups, respectively (intention to treat [ITT]). The nonsignificant difference between the groups was ?3.09% (95% confidence interval [CI] ?9.91–3.73), indicating noninferiority of Prolutex to Crinone.&quot;	NULL
25	2022-05-02 06:49:18	2022-05-10 06:08:48	NCT01994928	10.4187/respcare.04413	27274092	https://pubmed.ncbi.nlm.nih.gov/27274092/	post_publication	2021-01-31	FALSE	NA	[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Mean decrease in the saturation of oxygen (SpO2) during intubation.\\n[ Time Frame: during intubation ]\\n\\nMean decrease in the saturation of oxygen measured by pulse oximetry (SpO2 [%]) during intubation.""}]	[{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Changes in blood gases after intubation.\\n[ Time Frame: 30 minutes after intubation ]\\n\\nChanges in arterial blood gases collected from arterial line (PaO2/FiO2 [mmHg] and PaCO2 [mmHg]) after intubation.""}]	NULL		explicit	0	0	0	1	0	0	0	0	0	0	0	0	NULL	0	NULL	NULL		not_significant	There was no significant difference in the mean lowest SpO2 during intubation between the HFNC and BVM groups. A significant improvement in SpO2 after preoxygenation using HFNC was only seen in subjects who were previously receiving low-flow oxygen, whereas there was no significant difference in SpO2 in subjects previously receiving NIV or HFNC. In contrast to the BVM group, there was no significant decrease in SpO2 during the apnea phase before intubation in the HFNC group.	NULL
1	2022-05-09 04:02:50	2022-05-09 04:16:42	DRKS00007634	10.1111/ajt.14138	27873477	https://onlinelibrary.wiley.com/doi/epdf/10.1111/ajt.14138	post_publication	2017-06-29	NA	NA	[""Unplanned inpatient hospitalization (unplanned admission rate) at 3,6, 12 months after transplantation""]	[""Unplanned prolonged inpatient hospitalization (length of unplanned stay),\\nRate of acute rejection,\\nSum of days until acute rejection therapy initiation,\\nMaintenance of transplant function,\\nAmbulatory care visits,\\nImmunosuppressive regime adherence,\\nQuality of life,\\nReturn to employment""]	NULL	Unplanned admission rate: Sum of unplanned admissions according to all medical reports. Data are reported at 0, 3, 6, and 12 months posttransplant. 	explicit	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL		all_significant	The TSCMG and SOCG differed in their unplanned inpatient hospitalization rate. There was a significant main effect for treatment, F (1, ?) = 7.71, p = 0.006, and a significant interaction F (1.7, ?) = 4.41, p = 0.017. Post-hoc analyses showed that the TSCMG had significantly fewer unplanned admissions at T3 and T4. At 12 months posttransplant: TSCMG (median = 0 admissions, interquartile range [IQR] = 1) versus SOCG (median = 2 admissions, IQR = 2), U = 132.5, p = 0.002, r = 0.44.\n\nAdditionally, the TSCMG had fewer unplanned prolonged inpatient hospitalizations with a significant main effect for treatment, F (1, ?) = 6.59, p = 0.01; and a significant interaction, F (1.7, ?) = 3.8, p = 0.029. The post-hoc analyses revealed a shorter length of unplanned stay for the TSCMG at T3 and T4. At 12 months posttransplant: TSCMG (median = 0 days, IQR = 6) versus SOCG (median = 13 days, IQR = 23), U = 141.0, p = 0.005, r = 0.41.\n\nThe rate and length of unplanned hospitalizations at T2 were comparable to T3 and T4 for the TSCMG, while unplanned hospitalization in the SOCG increased significantly at each time point (T). For unplanned admissions, T2 until T3 and T3 until T4 were both Z = 2.74, p = 0.004, r = 0.40. For length of unplanned stay, T2 until T3 and T3 until T4 were both Z = 2.81, p = 0.002, r = 0.41. Figure 3 illustrates the interaction of treatment and time effects regarding unplanned hospitalizations by group means.\n	NULL
2	2022-05-09 04:02:50	2022-05-09 04:16:18	NCT02896062	10.5664/jcsm.7666	30853042	https://pubmed.ncbi.nlm.nih.gov/30853042/	post_completion	2018-05-09	FALSE	NA	[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""subjective sleep quality assessed by PSQI\\n[ Time Frame: 5 months ]\\n\\nPSQI total score""}]	[{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""objective sleep quality assessed by PSG\\n[ Time Frame: 2 months ]\\n\\nsleep efficiency""}]	NULL	&quot;Objective wake after sleep onset, sleep efficiency, latency to persistent sleep, self-reported sleep latency, restfulness, PSQI, and ISI scores improved with medium or large effects in both groups. ESS scores decreased with moderate effects in the treatment group only.&quot;\nDepressive symptoms were evaluated at baseline by the nine-item subscale for depressive symptoms PHQ-9 of the German version16 of the Patient Health Questionnaire.17 Total scores ranging from 0 to 14 represent no to moderate symptoms, whereas scores above 14 are indicative of severe symptoms of depression.	first_reported	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL		not_significant	Results of descriptive statistics of z-values and comparisons across time points of objective sleep parameters are summarized in Table 3. As seen from Table S3 in the supplemental material, median absolute values do not indicate impaired sleep. Nevertheless, improvements occurred in both groups. As expected, the treatment group showed stronger and earlier improvements in most of the objective sleep parameters than the control group: WASO and sleep efficiency already improved from t0 to t1 with medium effects (Table 3, Figure 3A, and Figure 3B).\n--&gt; none of the described changes are significant	NULL
3	2022-05-09 04:02:51	2022-05-09 04:15:29	NCT00923793	10.3171/2015.10.jns151245	26918471	https://pubmed.ncbi.nlm.nih.gov/26918471/	post_completion	2015-05-20	FALSE	NA	[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Comparison of the rate of local and/or systemic infections (acute/chronic) in both study arms within the first 6 months after operation.\\n[ Time Frame: 6 months ]""}]	[{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Comparison of the rate of re-operations with and without ex-plantation of the implant in both arms.\\n[ Time Frame: 6 months ]""},{""section"":""Secondary Outcome Measures:"",""label"":""2."",""content"":""Comparison of post-operative computer tomography (CT) (native and bone 5 mm) within 48 h in respect to bleeding, dislocation and further complications after cranioplasty in both arms.\\n[ Time Frame: 48 hours post-operative ]""},{""section"":""Secondary Outcome Measures:"",""label"":""3."",""content"":""Comparison of health-related quality of life after cranioplasty in both arms using the SF36-questionnaire.\\n[ Time Frame: 6 months ]""},{""section"":""Secondary Outcome Measures:"",""label"":""4."",""content"":""Comparison between both groups referring to cosmetic result, period of hospitalization, costs, intra-operative features.\\n[ Time Frame: 6 months ]""},{""section"":""Secondary Outcome Measures:"",""label"":""5."",""content"":""Comparison of temperature sensitivity (cold/heat) six months after implantation in both groups.\\n[ Time Frame: 6 months ]""},{""section"":""Secondary Outcome Measures:"",""label"":""6."",""content"":""Description of osteointegration with CT and bone scan six months post-operative in both groups\\n[ Time Frame: 6 months ]""}]	NULL	Abstract: &quot;The main goal of this study—the first prospective, randomized multicenter study in Germany—of custom-made titanium and hydroxyapatite (HA) implants was to compare local and systemic infections related to the implant within the first 6 months after implantation. (...) The study included patient screening and randomization at 6 to 8 weeks before operation; pre-, intra-, and postoperative documentation until discharge; and postoperative follow-ups after 1 and 6 months.&quot; 	explicit	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL		not_significant	&quot;A total of 52 patients were included in the study. The rate of local implant–associated wound infection in the HA group was 2 of 26 (7.7%) patients and 5 of 24 (20.8%) patients in the titanium group (p = 0.407). Systemic inflammation within 6 months after operation affected none of the patients in the HA group and 4 of 24 (37.5%) patients in the titanium group (p = 0.107).&quot;	NULL
5	2022-05-09 04:02:52	2022-05-09 04:06:55	NCT00659789	10.1016/s1473-3099(13)70343-8	24525316	https://www.ncbi.nlm.nih.gov/pubmed/24525316?dopt=Abstract	post_publication	2017-01-05	TRUE	2016-11-08	[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Proportion of Subjects Who Require Resumption of ART Between the Interruption of ART at Week 28 and End of Study at Week 52.\\n[ Time Frame: From Week 28 to Week 52 ]""}]	[{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Number of Participants With Any Treatment Emergent Adverse Event, Related Treatment Emergent Adverse Events and Deaths\\n[ Time Frame: Up to week 52 ]\\n\\nBrief summary of treatment emergent adverse events or related treatment emergent events and deaths. The intensity of adverse events was described according to the Division of AIDS table for grading severity of adult and pediatric adverse events, 2004.""},{""section"":""Secondary Outcome Measures:"",""label"":""2."",""content"":""Immunogenicity\\n[ Time Frame: Week 1, week 18 and week 52 ]\\n\\nImmunogenicity of Vacc-4x evaluated by DTH (Delayed-type Hypersensitivity) reaction. The number of participants showing induration and/or erythema""},{""section"":""Secondary Outcome Measures:"",""label"":""3."",""content"":""Effect of Vacc-4x on CD8 Counts\\n[ Time Frame: Weeks 6,18,24,28,32,36,40,44,48,52. ]\\n\\nCD8 Count Over Time for subjects who stopped ART at Week 28 and remained off ART until Week 52""},{""section"":""Secondary Outcome Measures:"",""label"":""4."",""content"":""Time to Restart of ART for Vacc-4x Subjects Versus Placebo\\n[ Time Frame: Between Week 28 to Week 52 ]\\n\\nKaplan-Meier Estimate of Time to restart ART (from time coming off ART)""},{""section"":""Secondary Outcome Measures:"",""label"":""5."",""content"":""Effects on Vacc-4x on HIV-1 RNA\\n[ Time Frame: Weeks 24,28,32,36,40,44,48,52. ]""}]	NULL	Abstract: &quot;The coprimary endpoints were cART resumption and changes in CD4 counts during treatment interruption.&quot;\nOutcomes: &quot;Coprimary efficacy objectives were to establish the proportion of participants who met the criteria for resumption of cART between the interruption of cART at week 28 and the end of the study at week 52 and percentage change in CD4 counts between week 28 (interruption of cART) and the last CD4 count assess ment before resumption of cART or week 52 if the participant did not resume cART in this period.&quot;	explicit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		not_significant	&quot;There were no differences between the two groups for the primary effi cacy endpoints in those participants who stopped cART at week 28. Of the participants who resumed cART, 30 (34%) were in the Vacc-4x group and 11 (29%) in the placebo group, and percentage changes in CD4 counts were not signifi cant (mean treatment diff erence –5·71, 95% CI –13·01 to 1·59). However, a significant difference in viral load was noted for the Vacc-4x group both at week 48 (median 23 100 copies per mL Vacc- 4x vs 71800 copies per mL placebo; p=0·025) and week 52 (median 19550 copies per mL vs 51000 copies per mL; p=0·041).&quot;	NULL
4	2022-05-09 04:02:52	2022-05-10 05:20:23	NCT02794259	10.1523/jneurosci.0079-17.2017	28314813	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6596583/	post_completion	2017-01-05	FALSE	NA	[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""GABA concentration assessed by magnetic resonance spectroscopy (MRS) after anodal tDCS adjusted for baseline levels\\n[ Time Frame: assessed immediately before and after a 15-min stimulation time ]\\n\\nInvestigation whether anodal tDCS leads to a significant reduction of M1-GABA concentration in older adults compared to sham stimulation.""}]	[{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""GABA concentration assessed by MRS before and after cathodal tDCS adjusted for baseline levels\\n[ Time Frame: assessed immediately before and after a 15-min stimulation time ]\\n\\nTo assess stimulation effects on GABA concentration by magnetic resonance spectroscopy are measured before and after cathodal tDCS.""},{""section"":""Secondary Outcome Measures:"",""label"":""2."",""content"":""Resting-state functional connectivity changes\\n[ Time Frame: assessed during a 15-min stimulation time ]\\n\\nFunctional connectivity as measured by resting-state fMRI during tDCS compared to sham""},{""section"":""Secondary Outcome Measures:"",""label"":""3."",""content"":""Genotyping of learning related polymorphisms\\n[ Time Frame: assessed during baseline screening ]\\n\\nTo assess predictors of positive reaction to brain stimulation, genotyping of several learning related polymorphisms will be performed""}]	NULL	Abstract: &quot;Here,weinvestigated tDCS-induced effects in older adults (N?48; age range, 50 –79 years) using magnetic resonance spectroscopy to quantify GABA levels (...).&quot;\nMethods: &quot;MRS. Edited spectra were analyzed using LCModel (Provencher, 1993) with a measured basis set containing GABA, N-acetylaspartate (NAA), Glu, glutamine, and glutathione and referenced to the concentrations used for creating the basis set. For fitting of the unedited spectrum, a simulated basis set containing 16 metabolites was used (i.e., alanine, aspartate, phosphocholine, creatine, phosphocreatine, GABA, Glu, glutamine, myoinositol, lactate, NAA, scyllo-inositol, taurine, glucose, N-acetylaspartylglutamate, and glycerophosphocholine). Only those GABA amplitudes returned by LCModel for which the Crame´r-Rao lower bounds (CRLBs) were?35% were considered for further analysis [mean (SD) CRLB, 17.3 (5.1); note, however that CRLBs of only two participants were ?30%; Bhattacharyya et al., 2011; Brady et al., 2013; Tremblay et al., 2016]. CRLBs for Glu were ?12%. GABA and Glu concentrations were quantified as the ratio to total creatine (tCr) fitted from the unedited spectra (Mullins et al., 2014; Stagg, 2014).&quot;	first_reported	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NULL	NULL		all_significant	Abstract: &quot;We observed a significant reduction of GABA levels after atDCS compared with stDCS, reflecting the preserved neuromodulatory effect of atDCS in older adults.&quot;\nResults: &quot;Linear mixed-model analysis (N ? 47 participants/ 134 data points) revealed a significant difference in GABA levels between conditions (F(2,87) ? 3.61, p ? 0.031; Fig. 2B, Table 2).&quot;	NULL
6	2022-05-09 04:16:46	2022-05-10 05:21:17	NCT01617343	10.1161/strokeaha.114.006059	24923723	https://pubmed.ncbi.nlm.nih.gov/24923723/	post_completion	2014-04-07	FALSE	NA	[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Total score in a neglect test battery\\n[ Time Frame: Change from baseline at Day 8 (post-treatment) ]\\n\\nPerformance in a neglect test battery (score between 0 and 100%) consisting of standard neglect tests including two cancellation tasks, line bisection, figure copying and text reading""},{""section"":""Primary Outcome Measures:"",""label"":""2."",""content"":""Functional independence score\\n[ Time Frame: Change from baseline at Day 8 (post-treatment) ]\\n\\nLevel of functional independence (score between 0 and 100%) as measured by the Barthel-Index and the Catherine-Bergego-Scale""}]	[{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Performance in paper-and-pencil subtests\\n[ Time Frame: Change from baseline at Day 8 and at Day 30 ]\\n\\nThe secondary outcome measures include scores of the individual subtests of the neglect test battery, i.e. bells and star cancellation tasks, line bisection, figure copying and text reading.""},{""section"":""Secondary Outcome Measures:"",""label"":""2."",""content"":""Performance in computerized attention tests\\n[ Time Frame: Change from baseline at Day 8 and at Day 30 ]\\n\\nPerformance in two computerized attention tests. These comprise a Posner Attention Task and a visual search task including eye movement analyses.""},{""section"":""Secondary Outcome Measures:"",""label"":""3."",""content"":""MRI\\n[ Time Frame: Day 1 ]\\n\\nAll patients (without contraindications) undergo cranial Magnetic Resonance Imaging (MRI) including 3D lesion analysis, resting state fMRI and a task-related fMRI with optokinetic stimuli. Patients' MRI data will be correlated to behavioural performance (see primary and other secondary outcome measures) and will also be compared to controls without spatial neglect.""},{""section"":""Secondary Outcome Measures:"",""label"":""4."",""content"":""Total score in the neglect test battery at follow-up\\n[ Time Frame: Change from baseline at Day 30 ]\\n\\nFor details please see primary outcome measure""},{""section"":""Secondary Outcome Measures:"",""label"":""5."",""content"":""Functional independence score at follow-up\\n[ Time Frame: Change from baseline at Day 30 ]\\n\\nFor details please see primary outcome measure""}]	NULL	Methods: &quot;We prespecified 2 primary outcome measures: (1) mean performance (accuracy) in the neuropsychological test battery and (2) neglect-related functional disability measured by the Catherine Bergego Scale.12 (...) Participants were assessed at 3 time points (Figure 1): baseline (day 1), post treatment (day 8), and follow-up (day 30). The follow-up assessment took place at 1 of 3 Clinics for Neurological Rehabilitation in Lübeck’s surrounding area.&quot;	explicit	NULL	0	1	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL		not_significant	At baseline, both groups did not differ in neuropsychological test performance, clinical impairment, or functional disability. At the post treatment session, both groups had improved in all these measures, and results were stable or further improved at follow-up. However, there was no significant difference in this change between the treatment and the control group.	NULL
7	2022-05-09 04:16:47	2022-05-10 05:22:40	DRKS00012258	10.1024/0301-1526/a000812	NA	https://econtent.hogrefe.com/doi/full/10.1024/0301-1526/a000812	post_publication	2020-10-22	NA	NA	[""Visit 1 (start of study) und Visit 28 (end of study after 28 days): measurement of skin hydration and measurement of the transepidermal water loss of the skin by means of Tewameter and Corneometer""]	[""Visit 1 (start of study) und Visit 28 (end of study after 28 days):\\n(1) measurement of the wear comfort with questionnaires\\n2)Skin roughness measurement by FOITS camera\\n3)PICO-press: fitting pressure between the compression stocking and skin\\n4)BT-600-measurement: measurement of volume of the legs""]	NULL	Methods: &quot;Skin hydration was considered as the primary outcome of the trial. (...) A total of three visits took place: screening visit, visit 1 (day 0), visit 2 (day 28). (...) Skin hydration was measured with the Corneometer® CM 825, (Courage+Khazaka electronic GmbH, Cologne, Germany). It is made of two finger-type metal plates with an approximate measurement depth of 30 ?m [13]. The measured values of the skin moisture are indicated in arbitrary units (AU) from 0 (no water at all) to 120 (water). The measurement was carried out at the lateral lower leg 15 cm close to the planta pedis, while the subject was in lying position. The exact location was marked to measure repeatedly in the same area. Constant room temperature was ensured at all measurement time points [15].&quot;	explicit	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL		not_significant	The MCS-SC diminished the undesirable side effect of skin dehydration. Skin moisture decreased only slightly (p = 0.057) by 2.6 AU in patients with MCS-SC, whereas in patients with MCS skin moisture decreased significantly (p = 0.021) by 3.6 AU. Comparing the two groups, there is no significant difference (p = 0.601).\n\n\nThe TEWL decreased equally for MCS (? -0.1) (p = 0.902) and MCS-SC (? -0.2) (p = 0.822). This result suggests that skin barrier function has improved in both groups. There was no significant difference between the groups (p = 0.804).\n\n	NULL
