drksId,indication.type0,indication.key0,indication.value0,indication.type1,indication.key1,indication.value1,indication.type2,indication.key2,indication.value2,indication.type3,indication.key3,indication.value3,indication.type4,indication.key4,indication.value4
DRKS00000036,Free text,NA,tibial bone loss,ICD10,M86,Osteomyelitis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000043,ICD10,C81,Hodgkin's disease,ICD10,C82,Follicular [nodular] non-Hodgkin's lymphoma,ICD10,C83,Diffuse non-Hodgkin's lymphoma,ICD10,C84,Peripheral and cutaneous T-cell lymphomas,ICD10,C85,Other and unspecified types of non-Hodgkin's lymphoma
DRKS00000053,ICD10,F00,Dementia in Alzheimer's disease,ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000056,Free text,NA,Type 2 Diabetes,ICD10,E11,Non-insulin-dependent diabetes mellitus,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000058,ICD10,E11,Non-insulin-dependent diabetes mellitus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000060,MedDRA,NA,10054710: Postoperative hip pain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000068,ICD10,F60.31,[generalization F60.3: Emotionally unstable personality disorder],ICD10,F60.8,Other specific personality disorders,ICD10,F60.4,Histrionic personality disorder,ICD10,F60.2,Dissocial personality disorder,NA,NA,NA
DRKS00000077,Free text,NA,"Presbyopia, Myopia, Hyperopia, Astigmatism, and combination of the before mentioned",ICD10,H52.4,Presbyopia,ICD10,H52.1,Myopia,ICD10,H52.2,Astigmatism,ICD10,H52.0,Hypermetropia
DRKS00000081,Free text,NA,Anorectic eating disorder,ICD10,F50.0,Anorexia nervosa,ICD10,F50.1,Atypical anorexia nervosa,NA,NA,NA,NA,NA,NA
DRKS00000091,Free text,NA,expected or proved pathologie of the small bowel,ICD10,C17,Malignant neoplasm of small intestine,ICD10,K50.0,Crohn's disease of small intestine,ICD10,K55.8,Other vascular disorders of intestine,ICD10,D12.6,"Benign neoplasm: Colon, unspecified"
DRKS00000093,ICD10,H25.0,Senile incipient cataract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
