id,version_number,total_versions,version_date,status,study_start_date,completion_date,completion_date_type,criteria,primary_outcomes,secondary_outcomes,other_outcomes,first_reg_date,final_status
NCT01651832,1,4,2012-07-25,Recruiting,2012-07-01,2014-10-01,Anticipated,"[""Inclusion Criteria:\n\ncolorectal carcinoma (ICD-10: C18, C19, C20)\nindication for adjuvant chemo therapy following S3-Guideline on colorectal Cancer or physician-directed\nliving in Saxony-Anhalt\nECOG-Performance Status <3\nprospective further life expectancy of more than three months\n\nExclusion Criteria:\n\nunabled to read oder understand german properly\nany contra-indication for adjuvant therapy as described in the S3-Guideline such as inadequate liver, bone marrow, and kidney function or coronary heart disease (NYHA III-IV).""]","[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""proportion of eligible patients undergoing adjuvant chemo therapy\n[ Time Frame: 8 weeks after hospital discharge/ chrirurgical resection ]""}]","[{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""disease-free survival\n[ Time Frame: 8 month after hospital discharge/ chrirurgical resection ]""},{""section"":""Secondary Outcome Measures:"",""label"":""2."",""content"":""Health-related Quality of Life\n[ Time Frame: 8 weeks & 8 month after hospital discharge/ chrirurgical resection ]\n\nusing the EORTC QLQ-C30 & CR-29""},{""section"":""Secondary Outcome Measures:"",""label"":""3."",""content"":""symptom burden\n[ Time Frame: 8 weeks & 8 month after hospital discharge/ chrirurgical resection ]\n\nusing the M.D. Anderson Symptom inventory""},{""section"":""Secondary Outcome Measures:"",""label"":""4."",""content"":""Distress\n[ Time Frame: 8 weeks & 8 month after hospital discharge/ chrirurgical resection ]\n\nusing the Distress-Thermometer""},{""section"":""Secondary Outcome Measures:"",""label"":""5."",""content"":""supportive care needs\n[ Time Frame: 8 weeks & 8 month after hospital discharge/ chrirurgical resection ]\n\nusing the Supportive Needs Quastionaire-37 (FU-T)""},{""section"":""Secondary Outcome Measures:"",""label"":""6."",""content"":""Quality of inpatient care\n[ Time Frame: at Baseline ]\n\nusing the EORTC INPATSAT-32""}]",[],2012-07-25,Completed
NCT01651832,2,4,2013-04-18,Recruiting,2012-07-01,2014-10-01,Anticipated,"[""Inclusion Criteria:\n\ncolorectal carcinoma (ICD-10: C18, C19, C20)\nindication for adjuvant chemo therapy following S3-Guideline on colorectal Cancer or physician-directed\nliving in Saxony-Anhalt\nECOG-Performance Status <3\nprospective further life expectancy of more than three months\n\nExclusion Criteria:\n\nunabled to read oder understand german properly\nany contra-indication for adjuvant therapy as described in the S3-Guideline such as inadequate liver, bone marrow, and kidney function or coronary heart disease (NYHA III-IV).""]","[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""proportion of eligible patients undergoing adjuvant chemo therapy\n[ Time Frame: 8 weeks after hospital discharge/ chrirurgical resection ]""}]","[{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""disease-free survival\n[ Time Frame: 8 month after hospital discharge/ chrirurgical resection ]""},{""section"":""Secondary Outcome Measures:"",""label"":""2."",""content"":""Health-related Quality of Life\n[ Time Frame: 8 weeks & 8 month after hospital discharge/ chrirurgical resection ]\n\nusing the EORTC QLQ-C30 & CR-29""},{""section"":""Secondary Outcome Measures:"",""label"":""3."",""content"":""symptom burden\n[ Time Frame: 8 weeks & 8 month after hospital discharge/ chrirurgical resection ]\n\nusing the M.D. Anderson Symptom inventory""},{""section"":""Secondary Outcome Measures:"",""label"":""4."",""content"":""Distress\n[ Time Frame: 8 weeks & 8 month after hospital discharge/ chrirurgical resection ]\n\nusing the Distress-Thermometer""},{""section"":""Secondary Outcome Measures:"",""label"":""5."",""content"":""supportive care needs\n[ Time Frame: 8 weeks & 8 month after hospital discharge/ chrirurgical resection ]\n\nusing the Supportive Needs Quastionaire-37 (FU-T)""},{""section"":""Secondary Outcome Measures:"",""label"":""6."",""content"":""Quality of inpatient care\n[ Time Frame: at Baseline ]\n\nusing the EORTC INPATSAT-32""}]",[],2012-07-25,Completed
NCT01651832,3,4,2014-12-01,Recruiting,2012-07-01,2015-12-01,Anticipated,"[""Inclusion Criteria:\n\ncolorectal carcinoma (ICD-10: C18, C19, C20)\nindication for adjuvant chemo therapy following S3-Guideline on colorectal Cancer or physician-directed\nliving in Saxony-Anhalt\nECOG-Performance Status <3\nprospective further life expectancy of more than three months\n\nExclusion Criteria:\n\nunable to read or understand German properly\nany contra-indication for adjuvant therapy as described in the S3-Guideline such as inadequate liver, bone marrow, and kidney function or coronary heart disease (NYHA III-IV).""]","[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""proportion of eligible patients undergoing adjuvant chemo therapy\n[ Time Frame: 8 weeks after hospital discharge/ chrirurgical resection ]""}]","[{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""disease-free survival\n[ Time Frame: 8 month after hospital discharge/ chrirurgical resection ]""},{""section"":""Secondary Outcome Measures:"",""label"":""2."",""content"":""Health-related Quality of Life\n[ Time Frame: 8 weeks & 8 month after hospital discharge/ chrirurgical resection ]\n\nusing the EORTC QLQ-C30 & CR-29""},{""section"":""Secondary Outcome Measures:"",""label"":""3."",""content"":""symptom burden\n[ Time Frame: 8 weeks & 8 month after hospital discharge/ chrirurgical resection ]\n\nusing the M.D. Anderson Symptom inventory""},{""section"":""Secondary Outcome Measures:"",""label"":""4."",""content"":""Distress\n[ Time Frame: 8 weeks & 8 month after hospital discharge/ chrirurgical resection ]\n\nusing the Distress-Thermometer""},{""section"":""Secondary Outcome Measures:"",""label"":""5."",""content"":""supportive care needs\n[ Time Frame: 8 weeks & 8 month after hospital discharge/ chrirurgical resection ]\n\nusing the Supportive Needs Questionnaire-37 (FU-T)""},{""section"":""Secondary Outcome Measures:"",""label"":""6."",""content"":""Quality of inpatient care\n[ Time Frame: at Baseline ]\n\nusing the EORTC INPATSAT-32""}]",[],2012-07-25,Completed
NCT01651832,4,4,2016-10-24,Completed,2012-07-01,2015-12-01,Actual,"[""Inclusion Criteria:\n\ncolorectal carcinoma (ICD-10: C18, C19, C20)\nindication for adjuvant chemo therapy following S3-Guideline on colorectal Cancer or physician-directed\nliving in Saxony-Anhalt\nECOG-Performance Status <3\nprospective further life expectancy of more than three months\n\nExclusion Criteria:\n\nunable to read or understand German properly\nany contra-indication for adjuvant therapy as described in the S3-Guideline such as inadequate liver, bone marrow, and kidney function or coronary heart disease (NYHA III-IV).""]","[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""proportion of eligible patients undergoing adjuvant chemo therapy\n[ Time Frame: 8 weeks after hospital discharge/ chrirurgical resection ]""}]","[{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""disease-free survival\n[ Time Frame: 8 month after hospital discharge/ chrirurgical resection ]""},{""section"":""Secondary Outcome Measures:"",""label"":""2."",""content"":""Health-related Quality of Life\n[ Time Frame: 8 weeks & 8 month after hospital discharge/ chrirurgical resection ]\n\nusing the EORTC QLQ-C30 & CR-29""},{""section"":""Secondary Outcome Measures:"",""label"":""3."",""content"":""symptom burden\n[ Time Frame: 8 weeks & 8 month after hospital discharge/ chrirurgical resection ]\n\nusing the M.D. Anderson Symptom inventory""},{""section"":""Secondary Outcome Measures:"",""label"":""4."",""content"":""Distress\n[ Time Frame: 8 weeks & 8 month after hospital discharge/ chrirurgical resection ]\n\nusing the Distress-Thermometer""},{""section"":""Secondary Outcome Measures:"",""label"":""5."",""content"":""supportive care needs\n[ Time Frame: 8 weeks & 8 month after hospital discharge/ chrirurgical resection ]\n\nusing the Supportive Needs Questionnaire-37 (FU-T)""},{""section"":""Secondary Outcome Measures:"",""label"":""6."",""content"":""Quality of inpatient care\n[ Time Frame: at Baseline ]\n\nusing the EORTC INPATSAT-32""}]",[],2012-07-25,Completed
NCT01225380,1,14,2010-10-19,Recruiting,2010-10-01,2012-09-01,Anticipated,"[""Inclusion Criteria:\n\nAdult subjects 18 to 70 years of age\nChronic HCV infection for at least 6 months prior to Baseline (Day 1)\nLiver biopsy results (performed no more than 2 years prior to Screening) indicating the absence of cirrhosis\nMonoinfection with HCV genotype 1a or 1b\nHCV treatment-naïve\nBody mass index (BMI) between 18 and 36 kg/m2\nCreatinine clearance >/= 50 mL/min\nSubject agrees to use highly effective contraception methods if female of childbearing potential or sexually active male.\nScreening laboratory values within defined thresholds for ALT, AST, leukopenia, neutropenia, anemia, thrombocytopenia, thyroid stimulating hormone (TSH), potassium, magnesium\n\nExclusion Criteria:\n\nAutoimmune disease\nDecompensated liver disease or cirrhosis\nPoorly controlled diabetes mellitus\nSevere psychiatric illness\nSevere chronic obstructive pulmonary disease (COPD)\nSerological evidence of co-infection with human immunodeficiency virus (HIV), hepatitis B virus (HBV), or another HCV genotype\nSuspicion of hepatocellular carcinoma or other malignancy (with exception of certain skin cancers)\nHistory of hemoglobinopathy\nKnown retinal disease\nSubjects who are immunosuppressed\nSubjects with known, current use of amphetamines, cocaine, opiates (i.e., morphine, heroin), methadone, or ongoing alcohol abuse\nSubjects who are on or are expected to be on a potent cytochrome P450 (CYP) 3A4 or Pgp inhibitor, or a QT prolonging medication within 2 weeks of Baseline (Day 1) or during the study\nSubjects must have no history of clinically significant cardiac disease, including a family history of Long QT syndrome, and no relevant electrocardiogram (ECG) abnormalities at screening""]","[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Sustained virologic response (SVR) defined as undetectable HCV RNA 24 weeks after treatment cessation\n[ Time Frame: 24 weeks of off-treatment follow-up ]""}]","[{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Safety and tolerability of therapy as measured by frequency of laboratory abnormalities, reported adverse events, and discontinuations due to adverse events\n[ Time Frame: Through up to 48 weeks treatment period and 24 weeks of off-treatment follow-up ]""},{""section"":""Secondary Outcome Measures:"",""label"":""2."",""content"":""Emergence of viral resistance following initiation of therapy with GS-9190 and GS-9256\n[ Time Frame: Through up to 48 weeks treatment period, 24 weeks of off-treatment follow-up, and up to 48 weeks of follow-up in the Resistance Registry Substudy ]""},{""section"":""Secondary Outcome Measures:"",""label"":""3."",""content"":""Viral dynamics and steady state pharmacokinetics of GS-9190 and GS-9256 when administered in combination with PEG and RBV; measured by HCV RNA levels and plasma concentrations of GS-9190 and GS-9256 over time\n[ Time Frame: Through Week 4 of therapy ]""},{""section"":""Secondary Outcome Measures:"",""label"":""4."",""content"":""Long-term assessment of plasma HCV RNA in subjects who achieve SVR\n[ Time Frame: 36 months following Week 72 ]\n\nPlasma HCV RNA will be measured at approximately 6, 12, 24, and 36 months after Week 72.""}]",[],2010-10-19,Completed
NCT01225380,2,14,2010-11-01,Recruiting,2010-10-01,2012-09-01,Anticipated,"[""Inclusion Criteria:\n\nAdult subjects 18 to 70 years of age\nChronic HCV infection for at least 6 months prior to Baseline (Day 1)\nLiver biopsy results (performed no more than 2 years prior to Screening) indicating the absence of cirrhosis\nMonoinfection with HCV genotype 1a or 1b\nHCV treatment-naïve\nBody mass index (BMI) between 18 and 36 kg/m2\nCreatinine clearance >/= 50 mL/min\nSubject agrees to use highly effective contraception methods if female of childbearing potential or sexually active male.\nScreening laboratory values within defined thresholds for ALT, AST, leukopenia, neutropenia, anemia, thrombocytopenia, thyroid stimulating hormone (TSH), potassium, magnesium\n\nExclusion Criteria:\n\nAutoimmune disease\nDecompensated liver disease or cirrhosis\nPoorly controlled diabetes mellitus\nSevere psychiatric illness\nSevere chronic obstructive pulmonary disease (COPD)\nSerological evidence of co-infection with human immunodeficiency virus (HIV), hepatitis B virus (HBV), or another HCV genotype\nSuspicion of hepatocellular carcinoma or other malignancy (with exception of certain skin cancers)\nHistory of hemoglobinopathy\nKnown retinal disease\nSubjects who are immunosuppressed\nSubjects with known, current use of amphetamines, cocaine, opiates (i.e., morphine, heroin), methadone, or ongoing alcohol abuse\nSubjects who are on or are expected to be on a potent cytochrome P450 (CYP) 3A4 or Pgp inhibitor, or a QT prolonging medication within 2 weeks of Baseline (Day 1) or during the study\nSubjects must have no history of clinically significant cardiac disease, including a family history of Long QT syndrome, and no relevant electrocardiogram (ECG) abnormalities at screening""]","[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Sustained virologic response (SVR) defined as undetectable HCV RNA 24 weeks after treatment cessation\n[ Time Frame: 24 weeks of off-treatment follow-up ]""}]","[{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Safety and tolerability of therapy as measured by frequency of laboratory abnormalities, reported adverse events, and discontinuations due to adverse events\n[ Time Frame: Through up to 48 weeks treatment period and 24 weeks of off-treatment follow-up ]""},{""section"":""Secondary Outcome Measures:"",""label"":""2."",""content"":""Emergence of viral resistance following initiation of therapy with GS-9190 and GS-9256\n[ Time Frame: Through up to 48 weeks treatment period, 24 weeks of off-treatment follow-up, and up to 48 weeks of follow-up in the Resistance Registry Substudy ]""},{""section"":""Secondary Outcome Measures:"",""label"":""3."",""content"":""Viral dynamics and steady state pharmacokinetics of GS-9190 and GS-9256 when administered in combination with PEG and RBV; measured by HCV RNA levels and plasma concentrations of GS-9190 and GS-9256 over time\n[ Time Frame: Through Week 4 of therapy ]""},{""section"":""Secondary Outcome Measures:"",""label"":""4."",""content"":""Long-term assessment of plasma HCV RNA in subjects who achieve SVR\n[ Time Frame: 36 months following Week 72 ]\n\nPlasma HCV RNA will be measured at approximately 6, 12, 24, and 36 months after Week 72.""}]",[],2010-10-19,Completed
NCT01225380,3,14,2010-11-17,Recruiting,2010-10-01,2012-09-01,Anticipated,"[""Inclusion Criteria:\n\nAdult subjects 18 to 70 years of age\nChronic HCV infection for at least 6 months prior to Baseline (Day 1)\nLiver biopsy results (performed no more than 2 years prior to Screening) indicating the absence of cirrhosis\nMonoinfection with HCV genotype 1a or 1b\nHCV treatment-naïve\nBody mass index (BMI) between 18 and 36 kg/m2\nCreatinine clearance >/= 50 mL/min\nSubject agrees to use highly effective contraception methods if female of childbearing potential or sexually active male.\nScreening laboratory values within defined thresholds for ALT, AST, leukopenia, neutropenia, anemia, thrombocytopenia, thyroid stimulating hormone (TSH), potassium, magnesium\n\nExclusion Criteria:\n\nAutoimmune disease\nDecompensated liver disease or cirrhosis\nPoorly controlled diabetes mellitus\nSevere psychiatric illness\nSevere chronic obstructive pulmonary disease (COPD)\nSerological evidence of co-infection with human immunodeficiency virus (HIV), hepatitis B virus (HBV), or another HCV genotype\nSuspicion of hepatocellular carcinoma or other malignancy (with exception of certain skin cancers)\nHistory of hemoglobinopathy\nKnown retinal disease\nSubjects who are immunosuppressed\nSubjects with known, current use of amphetamines, cocaine, opiates (i.e., morphine, heroin), methadone, or ongoing alcohol abuse\nSubjects who are on or are expected to be on a potent cytochrome P450 (CYP) 3A4 or Pgp inhibitor, or a QT prolonging medication within 2 weeks of Baseline (Day 1) or during the study\nSubjects must have no history of clinically significant cardiac disease, including a family history of Long QT syndrome, and no relevant electrocardiogram (ECG) abnormalities at screening""]","[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Sustained virologic response (SVR) defined as undetectable HCV RNA 24 weeks after treatment cessation\n[ Time Frame: 24 weeks of off-treatment follow-up ]""}]","[{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Safety and tolerability of therapy as measured by frequency of laboratory abnormalities, reported adverse events, and discontinuations due to adverse events\n[ Time Frame: Through up to 48 weeks treatment period and 24 weeks of off-treatment follow-up ]""},{""section"":""Secondary Outcome Measures:"",""label"":""2."",""content"":""Emergence of viral resistance following initiation of therapy with GS-9190 and GS-9256\n[ Time Frame: Through up to 48 weeks treatment period, 24 weeks of off-treatment follow-up, and up to 48 weeks of follow-up in the Resistance Registry Substudy ]""},{""section"":""Secondary Outcome Measures:"",""label"":""3."",""content"":""Viral dynamics and steady state pharmacokinetics of GS-9190 and GS-9256 when administered in combination with PEG and RBV; measured by HCV RNA levels and plasma concentrations of GS-9190 and GS-9256 over time\n[ Time Frame: Through Week 4 of therapy ]""},{""section"":""Secondary Outcome Measures:"",""label"":""4."",""content"":""Long-term assessment of plasma HCV RNA in subjects who achieve SVR\n[ Time Frame: 36 months following Week 72 ]\n\nPlasma HCV RNA will be measured at approximately 6, 12, 24, and 36 months after Week 72.""}]",[],2010-10-19,Completed
NCT01225380,4,14,2010-12-09,Recruiting,2010-10-01,2012-09-01,Anticipated,"[""Inclusion Criteria:\n\nAdult subjects 18 to 70 years of age\nChronic HCV infection for at least 6 months prior to Baseline (Day 1)\nLiver biopsy results (performed no more than 2 years prior to Screening) indicating the absence of cirrhosis\nMonoinfection with HCV genotype 1a or 1b\nHCV treatment-naïve\nBody mass index (BMI) between 18 and 36 kg/m2\nCreatinine clearance >/= 50 mL/min\nSubject agrees to use highly effective contraception methods if female of childbearing potential or sexually active male.\nScreening laboratory values within defined thresholds for ALT, AST, leukopenia, neutropenia, anemia, thrombocytopenia, thyroid stimulating hormone (TSH), potassium, magnesium\n\nExclusion Criteria:\n\nAutoimmune disease\nDecompensated liver disease or cirrhosis\nPoorly controlled diabetes mellitus\nSevere psychiatric illness\nSevere chronic obstructive pulmonary disease (COPD)\nSerological evidence of co-infection with human immunodeficiency virus (HIV), hepatitis B virus (HBV), or another HCV genotype\nSuspicion of hepatocellular carcinoma or other malignancy (with exception of certain skin cancers)\nHistory of hemoglobinopathy\nKnown retinal disease\nSubjects who are immunosuppressed\nSubjects with known, current use of amphetamines, cocaine, opiates (i.e., morphine, heroin), methadone, or ongoing alcohol abuse\nSubjects who are on or are expected to be on a potent cytochrome P450 (CYP) 3A4 or Pgp inhibitor, or a QT prolonging medication within 2 weeks of Baseline (Day 1) or during the study\nSubjects must have no history of clinically significant cardiac disease, including a family history of Long QT syndrome, and no relevant electrocardiogram (ECG) abnormalities at screening""]","[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Sustained virologic response (SVR) defined as undetectable HCV RNA 24 weeks after treatment cessation\n[ Time Frame: 24 weeks of off-treatment follow-up ]""}]","[{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Safety and tolerability of therapy as measured by frequency of laboratory abnormalities, reported adverse events, and discontinuations due to adverse events\n[ Time Frame: Through up to 48 weeks treatment period and 24 weeks of off-treatment follow-up ]""},{""section"":""Secondary Outcome Measures:"",""label"":""2."",""content"":""Emergence of viral resistance following initiation of therapy with GS-9190 and GS-9256\n[ Time Frame: Through up to 48 weeks treatment period, 24 weeks of off-treatment follow-up, and up to 48 weeks of follow-up in the Resistance Registry Substudy ]""},{""section"":""Secondary Outcome Measures:"",""label"":""3."",""content"":""Viral dynamics and steady state pharmacokinetics of GS-9190 and GS-9256 when administered in combination with PEG and RBV; measured by HCV RNA levels and plasma concentrations of GS-9190 and GS-9256 over time\n[ Time Frame: Through Week 4 of therapy ]""},{""section"":""Secondary Outcome Measures:"",""label"":""4."",""content"":""Long-term assessment of plasma HCV RNA in subjects who achieve SVR\n[ Time Frame: 36 months following Week 72 ]\n\nPlasma HCV RNA will be measured at approximately 6, 12, 24, and 36 months after Week 72.""}]",[],2010-10-19,Completed
NCT01225380,5,14,2011-01-05,Recruiting,2010-10-01,2012-09-01,Anticipated,"[""Inclusion Criteria:\n\nAdult subjects 18 to 70 years of age\nChronic HCV infection for at least 6 months prior to Baseline (Day 1)\nLiver biopsy results (performed no more than 2 years prior to Screening) indicating the absence of cirrhosis\nMonoinfection with HCV genotype 1a or 1b\nHCV treatment-naïve\nBody mass index (BMI) between 18 and 36 kg/m2\nCreatinine clearance >/= 50 mL/min\nSubject agrees to use highly effective contraception methods if female of childbearing potential or sexually active male.\nScreening laboratory values within defined thresholds for ALT, AST, leukopenia, neutropenia, anemia, thrombocytopenia, thyroid stimulating hormone (TSH), potassium, magnesium\n\nExclusion Criteria:\n\nAutoimmune disease\nDecompensated liver disease or cirrhosis\nPoorly controlled diabetes mellitus\nSevere psychiatric illness\nSevere chronic obstructive pulmonary disease (COPD)\nSerological evidence of co-infection with human immunodeficiency virus (HIV), hepatitis B virus (HBV), or another HCV genotype\nSuspicion of hepatocellular carcinoma or other malignancy (with exception of certain skin cancers)\nHistory of hemoglobinopathy\nKnown retinal disease\nSubjects who are immunosuppressed\nSubjects with known, current use of amphetamines, cocaine, opiates (i.e., morphine, heroin), methadone, or ongoing alcohol abuse\nSubjects who are on or are expected to be on a potent cytochrome P450 (CYP) 3A4 or Pgp inhibitor, or a QT prolonging medication within 2 weeks of Baseline (Day 1) or during the study\nSubjects must have no history of clinically significant cardiac disease, including a family history of Long QT syndrome, and no relevant electrocardiogram (ECG) abnormalities at screening""]","[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Sustained virologic response (SVR) defined as undetectable HCV RNA 24 weeks after treatment cessation\n[ Time Frame: 24 weeks of off-treatment follow-up ]""}]","[{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Safety and tolerability of therapy as measured by frequency of laboratory abnormalities, reported adverse events, and discontinuations due to adverse events\n[ Time Frame: Through up to 48 weeks treatment period and 24 weeks of off-treatment follow-up ]""},{""section"":""Secondary Outcome Measures:"",""label"":""2."",""content"":""Emergence of viral resistance following initiation of therapy with GS-9190 and GS-9256\n[ Time Frame: Through up to 48 weeks treatment period, 24 weeks of off-treatment follow-up, and up to 48 weeks of follow-up in the Resistance Registry Substudy ]""},{""section"":""Secondary Outcome Measures:"",""label"":""3."",""content"":""Viral dynamics and steady state pharmacokinetics of GS-9190 and GS-9256 when administered in combination with PEG and RBV; measured by HCV RNA levels and plasma concentrations of GS-9190 and GS-9256 over time\n[ Time Frame: Through Week 4 of therapy ]""},{""section"":""Secondary Outcome Measures:"",""label"":""4."",""content"":""Long-term assessment of plasma HCV RNA in subjects who achieve SVR\n[ Time Frame: 36 months following Week 72 ]\n\nPlasma HCV RNA will be measured at approximately 6, 12, 24, and 36 months after Week 72.""}]",[],2010-10-19,Completed
NCT01225380,6,14,2011-02-24,Recruiting,2010-10-01,2012-09-01,Anticipated,"[""Inclusion Criteria:\n\nAdult subjects 18 to 70 years of age\nChronic HCV infection for at least 6 months prior to Baseline (Day 1)\nLiver biopsy results (performed no more than 2 years prior to Screening) indicating the absence of cirrhosis\nMonoinfection with HCV genotype 1a or 1b\nHCV treatment-naïve\nBody mass index (BMI) between 18 and 36 kg/m2\nCreatinine clearance >/= 50 mL/min\nSubject agrees to use highly effective contraception methods if female of childbearing potential or sexually active male.\nScreening laboratory values within defined thresholds for ALT, AST, leukopenia, neutropenia, anemia, thrombocytopenia, thyroid stimulating hormone (TSH), potassium, magnesium\n\nExclusion Criteria:\n\nAutoimmune disease\nDecompensated liver disease or cirrhosis\nPoorly controlled diabetes mellitus\nSevere psychiatric illness\nSevere chronic obstructive pulmonary disease (COPD)\nSerological evidence of co-infection with human immunodeficiency virus (HIV), hepatitis B virus (HBV), or another HCV genotype\nSuspicion of hepatocellular carcinoma or other malignancy (with exception of certain skin cancers)\nHistory of hemoglobinopathy\nKnown retinal disease\nSubjects who are immunosuppressed\nSubjects with known, current use of amphetamines, cocaine, opiates (i.e., morphine, heroin), methadone, or ongoing alcohol abuse\nSubjects who are on or are expected to be on a potent cytochrome P450 (CYP) 3A4 or Pgp inhibitor, or a QT prolonging medication within 2 weeks of Baseline (Day 1) or during the study\nSubjects must have no history of clinically significant cardiac disease, including a family history of Long QT syndrome, and no relevant electrocardiogram (ECG) abnormalities at screening""]","[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Sustained virologic response (SVR) defined as undetectable HCV RNA 24 weeks after treatment cessation\n[ Time Frame: 24 weeks of off-treatment follow-up ]""}]","[{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Safety and tolerability of therapy as measured by frequency of laboratory abnormalities, reported adverse events, and discontinuations due to adverse events\n[ Time Frame: Through up to 48 weeks treatment period and 24 weeks of off-treatment follow-up ]""},{""section"":""Secondary Outcome Measures:"",""label"":""2."",""content"":""Emergence of viral resistance following initiation of therapy with GS-9190 and GS-9256\n[ Time Frame: Through up to 48 weeks treatment period, 24 weeks of off-treatment follow-up, and up to 48 weeks of follow-up in the Resistance Registry Substudy ]""},{""section"":""Secondary Outcome Measures:"",""label"":""3."",""content"":""Viral dynamics and steady state pharmacokinetics of GS-9190 and GS-9256 when administered in combination with PEG and RBV; measured by HCV RNA levels and plasma concentrations of GS-9190 and GS-9256 over time\n[ Time Frame: Through Week 4 of therapy ]""},{""section"":""Secondary Outcome Measures:"",""label"":""4."",""content"":""Long-term assessment of plasma HCV RNA in subjects who achieve SVR\n[ Time Frame: 36 months following Week 72 ]\n\nPlasma HCV RNA will be measured at approximately 6, 12, 24, and 36 months after Week 72.""}]",[],2010-10-19,Completed
