nct_id,mesh_term,mesh_type
NCT00086580,Leukemia,mesh-list
NCT00086580,"Leukemia, Lymphoid",mesh-list
NCT00086580,"Leukemia, Lymphocytic, Chronic, B-Cell",mesh-list
NCT00086580,Neoplasms by Histologic Type,mesh-ancestor
NCT00086580,Neoplasms,mesh-ancestor
NCT00086580,Lymphoproliferative Disorders,mesh-ancestor
NCT00086580,Lymphatic Diseases,mesh-ancestor
NCT00086580,Immunoproliferative Disorders,mesh-ancestor
NCT00086580,Immune System Diseases,mesh-ancestor
NCT00086580,"Leukemia, B-Cell",mesh-ancestor
NCT00088530,Lymphoma,mesh-list
NCT00088530,"Lymphoma, Non-Hodgkin",mesh-list
NCT00088530,Neoplasms by Histologic Type,mesh-ancestor
NCT00088530,Neoplasms,mesh-ancestor
NCT00088530,Lymphoproliferative Disorders,mesh-ancestor
NCT00088530,Lymphatic Diseases,mesh-ancestor
NCT00088530,Immunoproliferative Disorders,mesh-ancestor
NCT00088530,Immune System Diseases,mesh-ancestor
NCT00094497,Carcinoma,mesh-list
NCT00094497,Adrenocortical Carcinoma,mesh-list
NCT00094497,"Neoplasms, Glandular and Epithelial",mesh-ancestor
NCT00094497,Neoplasms by Histologic Type,mesh-ancestor
NCT00094497,Neoplasms,mesh-ancestor
NCT00094497,Adenocarcinoma,mesh-ancestor
NCT00094497,Adrenal Cortex Neoplasms,mesh-ancestor
NCT00094497,Adrenal Gland Neoplasms,mesh-ancestor
NCT00094497,Endocrine Gland Neoplasms,mesh-ancestor
NCT00094497,Neoplasms by Site,mesh-ancestor
NCT00094497,Adrenal Cortex Diseases,mesh-ancestor
NCT00094497,Adrenal Gland Diseases,mesh-ancestor
NCT00094497,Endocrine System Diseases,mesh-ancestor
NCT00094653,Melanoma,mesh-list
NCT00094653,Neuroendocrine Tumors,mesh-ancestor
NCT00094653,Neuroectodermal Tumors,mesh-ancestor
NCT00094653,"Neoplasms, Germ Cell and Embryonal",mesh-ancestor
NCT00094653,Neoplasms by Histologic Type,mesh-ancestor
NCT00094653,Neoplasms,mesh-ancestor
NCT00094653,"Neoplasms, Nerve Tissue",mesh-ancestor
NCT00094653,Nevi and Melanomas,mesh-ancestor
NCT00095875,Head and Neck Neoplasms,mesh-list
NCT00095875,Neoplasms by Site,mesh-ancestor
NCT00095875,Neoplasms,mesh-ancestor
NCT00120406,Vascular Diseases,mesh-list
