nct_id,name
NCT00232830,Coronary Artery Disease
NCT00098137,Heart Disease
NCT00098137,Arrhythmia
NCT00098137,Atrial Fibrillation
NCT00086580,B-Cell Chronic Lymphocytic Leukemia
NCT00088530,"Lymphoma, Non-Hodgkin"
NCT00094497,"Carcinoma, Adrenal Cortical"
NCT00094653,Melanoma
NCT00094653,Metastases
NCT00095875,Head and Neck Cancer
NCT00120406,Peripheral Vascular Diseases
NCT00133978,Critical Illness
NCT00133978,Sepsis
NCT00133978,Multiple Organ Failure
NCT00211237,Cancer
NCT00211237,Spinal Fractures
NCT00224770,Intracerebral Hemorrhage
NCT00262119,Atrial Fibrillation
NCT00262119,"Heart Failure, Congestive"
NCT00298363,Chronic Hepatitis B
NCT00303459,Pulmonary Arterial Hypertension
NCT00312845,Non-Hodgkin's Lymphoma
NCT00317642,Acute Myelogenous Leukemia
NCT00322101,Acute Myeloid Leukemia With Multilineage Dysplasia Following Myelodysplastic Syndrome
NCT00322101,Acute Myeloid Leukemia/Transient Myeloproliferative Disorder
NCT00322101,Adult Acute Myeloid Leukemia in Remission
NCT00322101,Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities
NCT00322101,Adult Acute Myeloid Leukemia With Del(5q)
NCT00322101,Adult Acute Myeloid Leukemia With Inv(16)(p13;q22)
NCT00322101,Adult Acute Myeloid Leukemia With t(15;17)(q22;q12)
NCT00322101,Adult Acute Myeloid Leukemia With t(16;16)(p13;q22)
NCT00322101,Adult Acute Myeloid Leukemia With t(8;21)(q22;q22)
NCT00322101,Childhood Acute Myeloid Leukemia in Remission
NCT00322101,Childhood Myelodysplastic Syndromes
NCT00322101,de Novo Myelodysplastic Syndromes
NCT00322101,Myelodysplastic Syndrome With Isolated Del(5q)
NCT00322101,"Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable"
NCT00322101,Previously Treated Myelodysplastic Syndromes
NCT00322101,Recurrent Adult Acute Myeloid Leukemia
NCT00322101,Recurrent Childhood Acute Myeloid Leukemia
NCT00322101,Secondary Acute Myeloid Leukemia
NCT00322101,Secondary Myelodysplastic Syndromes
NCT00323297,Pulmonary Arterial Hypertension
NCT00353496,Endocrine Tumors
NCT00359424,Stroke
NCT00373425,Non-small Cell Lung Cancer
NCT00382967,Parkinsonian Syndromes
NCT00388505,Cystic Fibrosis
NCT00391443,Idiopathic Pulmonary Fibrosis
NCT00392054,Atrial Fibrillation
NCT00396981,Intracranial Aneurysms
NCT00402168,Renal Transplant
NCT00405756,Newly Diagnosed Multiple Myeloma
NCT00410384,Systemic Lupus Erythematosus
NCT00412893,Aspergillosis
NCT00412893,Invasive Fungal Infection
NCT00418574,Ovarian Cancer
NCT00425698,Kidney Transplantation
NCT00428948,"Polycystic Kidney Disease, Autosomal Dominant"
NCT00434161,Multiple Myeloma
NCT00438451,Focal Epilepsy
NCT00451958,Prostate Cancer
NCT00456092,Psoriatic Arthritis
NCT00464204,Sepsis
NCT00467857,Skin Flora Contamination
NCT00479557,Alzheimer Disease
NCT00480077,Heart Failure
NCT00530348,"Multiple Sclerosis, Relapsing-Remitting"
NCT00530764,Palliative Care
NCT00530764,Pain
NCT00530764,Cancer
NCT00538590,Open Angle Glaucoma
NCT00545077,Breast Cancer
NCT00545103,Diverticulitis
NCT00548405,"Multiple Sclerosis, Relapsing-Remitting"
NCT00550862,"Liver Cirrhosis, Biliary"
NCT00570765,"Liver Cirrhosis, Biliary"
NCT00574873,Chronic Myeloid Leukemia
NCT00575588,Type 2 Diabetes
NCT00592553,Duchenne Muscular Dystrophy
NCT00592553,Becker Muscular Dystrophy
NCT00605826,Fecal Incontinence
NCT00615264,Type 1 Diabetes
NCT00617175,Heart Disease
NCT00626548,Prostate Cancer
NCT00627094,Leg Ulcers
NCT00627523,"Infant, Small for Gestational Age"
NCT00630812,Cystic Fibrosis
NCT00631371,Renal Cell Carcinoma
NCT00636181,Obstructive Sleep Apnea
NCT00644059,"Influenza, Human"
NCT00650078,Rheumatoid Arthritis
NCT00656136,"Carcinoma, Non-Small-Cell Lung"
NCT00659789,HIV I Infection
NCT00660179,Pulmonary Arterial Hypertension
NCT00661830,Adenocarcinoma
NCT00665626,Rheumatoid Arthritis
NCT00667810,Alzheimer Disease
NCT00674700,Allergic Rhinitis
NCT00676143,Alzheimer Disease
NCT00678392,Kidney Neoplasms
NCT00678535,Gastric Cancer
NCT00683696,Heart Failure
NCT00683696,Ventricular Dyssynchrony
NCT00708162,HIV Infection
NCT00708942,Cervical Intraepithelial Neoplasia
NCT00714311,Borderline Personality Disorder
NCT00716079,Intracerebral Hemorrhage
NCT00716079,Stroke
NCT00716079,Hypertension
