drksid,version_number,total_versions,version_date,recruitment_status,start_date,closing_date,enrolment,enrolment_type,min_age,max_age,gender,inclusion_criteria,exclusion_criteria,primary_outcomes,secondary_outcomes,contacts
DRKS00000005,1,10,2008-08-08,Recruiting ongoing,2007-08-22,NA,550,Actual,18 Years,no maximum age,"Both, male and female","[""Additional Inclusion Criteria"",""-Age equal or above 18 years\n-Expected survival time more than 12 month\n-Patients with at least one of the following pathologic diseases scheduled for elective resection:\n*Resectable malignancies of pancreatic body and/or tail\n*Resectable chronic pancreatitis of the body and/or tail\n*Resectable benigne tumours of the pancreas including neuroendocrine tumours\n*Resectable pseudocyst of the pancreatic body and/or tail""]","[""Exclusion Criteria"",""-Current immunosuppressive therapy\n-Chemotherapy within 2 weeks before operation\n-Radiotherapy within 8 weeks before operation\n-Curative resecion is not feasible\n-Severe psychiatric or neurologic diseases\n-Drug- and/or alcohol-abuse according to local standarts\n-Participation in anather intervention-trail with interference of intervention or outcome\n-Inability to follow the instructions given by the investigator or interviewer\n-Expected lack of compliance\n-Lack of informed consent""]","[""Combined primary endpoint: presence of a pancreatic fistula and / or death due to any cause on day 7 postoperatively.""]","[""Secondary endpoints: operating time, frequency of burst abdomen, wound infection, and intraabdominal fluid collection and abscess, postoperative length of hospital stay, new onset of diabetes mellitus, one-year survival.""]","[{""label"":""Primary Sponsor"",""affiliation"":""Universitätsklinikum Heidelberg Studienzentrum der Deutschen Gesellschaft für Chirurgie (SDGC)"",""telephone"":""[---]*"",""fax"":""[---]*"",""email"":""sdgc at med.uni-heidelberg.de"",""url"":""http://www.sdgc.de"",""name"":""""},{""label"":""Contact for Scientific Queries"",""affiliation"":""Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universitätsklinikum Heidelberg"",""telephone"":""+49 56 6986"",""fax"":""+49 56 6988"",""email"":""markus.diener at med.uni-heidelberg.de"",""url"":""http://www.klinikum.uni-heidelberg.de/Chirurgische-Klinik.83.0.html"",""name"":""Mr. Dr. med. Markus Diener""},{""label"":""Contact for Public Queries"",""affiliation"":""Studienzentrum der Deutschen Gesellschaft für Chirurgie-SDGC Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universität Heidelberg"",""telephone"":""+49 6221 56-6984"",""fax"":""+49 6221 56-6984"",""email"":""inga.rossion at med.uni-heidelberg.de"",""url"":""http://www.sdgc.de"",""name"":""Ms. Inga Rossion""}]"
DRKS00000005,2,10,2010-02-08,Recruiting ongoing,2007-01-01,NA,450,Actual,18 Years,no maximum age,"Both, male and female","[""Additional Inclusion Criteria"",""-Age equal or above 18 years\n-Expected survival time more than 12 month\n-Patients with at least one of the following pathologic diseases scheduled for elective resection:\n*Resectable malignancies of pancreatic body and/or tail\n*Resectable chronic pancreatitis of the body and/or tail\n*Resectable benigne tumours of the pancreas including neuroendocrine tumours\n*Resectable pseudocyst of the pancreatic body and/or tail""]","[""Exclusion Criteria"",""-Current immunosuppressive therapy\n-Chemotherapy within 2 weeks before operation\n-Radiotherapy within 8 weeks before operation\n-Curative resecion is not feasible\n-Severe psychiatric or neurologic diseases\n-Drug- and/or alcohol-abuse according to local standarts\n-Participation in another intervention trial with interference of intervention or outcome\n-Inability to follow instructions given by the investigator or interviewer\n-Expected lack of compliance\n-Lack of informed consent""]","[""Combined primary endpoint: presence of a pancreatic fistula and / or death due to any cause on day 7 postoperatively.""]","[""Secondary endpoints: operating time, frequency of burst abdomen, wound infection, and intraabdominal fluid collection and abscess, postoperative length of hospital stay, new onset of diabetes mellitus, one-year survival.""]","[{""label"":""Primary Sponsor"",""affiliation"":""Universitätsklinikum Heidelberg Studienzentrum der Deutschen Gesellschaft für Chirurgie (SDGC)"",""telephone"":""[---]*"",""fax"":""[---]*"",""email"":""sdgc at med.uni-heidelberg.de"",""url"":""http://www.sdgc.de"",""name"":""""},{""label"":""Contact for Scientific Queries"",""affiliation"":""Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universitätsklinikum Heidelberg"",""telephone"":""+49 56 6986"",""fax"":""+49 56 6988"",""email"":""markus.diener at med.uni-heidelberg.de"",""url"":""http://www.klinikum.uni-heidelberg.de/Chirurgische-Klinik.83.0.html"",""name"":""Mr. Dr. med. Markus Diener""},{""label"":""Contact for Public Queries"",""affiliation"":""Studienzentrum der Deutschen Gesellschaft für Chirurgie-SDGC Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universität Heidelberg"",""telephone"":""+49 6221 56-6984"",""fax"":""+49 6221 56-6984"",""email"":""inga.rossion at med.uni-heidelberg.de"",""url"":""http://www.sdgc.de"",""name"":""Ms. Inga Rossion""}]"
DRKS00000005,3,10,2010-02-08,Recruiting ongoing,2007-01-01,NA,450,Actual,18 Years,no maximum age,"Both, male and female","[""Additional Inclusion Criteria"",""-Age equal or above 18 years\n-Expected survival time more than 12 month\n-Patients with at least one of the following pathologic diseases scheduled for elective resection:\n*Resectable malignancies of pancreatic body and/or tail\n*Resectable chronic pancreatitis of the body and/or tail\n*Resectable benigne tumours of the pancreas including neuroendocrine tumours\n*Resectable pseudocyst of the pancreatic body and/or tail""]","[""Exclusion Criteria"",""-Current immunosuppressive therapy\n-Chemotherapy within 2 weeks before operation\n-Radiotherapy within 8 weeks before operation\n-Curative resecion is not feasible\n-Severe psychiatric or neurologic diseases\n-Drug- and/or alcohol-abuse according to local standarts\n-Participation in another intervention trial with interference of intervention or outcome\n-Inability to follow instructions given by the investigator or interviewer\n-Expected lack of compliance\n-Lack of informed consent""]","[""Combined primary endpoint: presence of a pancreatic fistula and / or death due to any cause on day 7 postoperatively.""]","[""Secondary endpoints: operating time, frequency of burst abdomen, wound infection, and intraabdominal fluid collection and abscess, postoperative length of hospital stay, new onset of diabetes mellitus, one-year survival.""]","[{""label"":""Primary Sponsor"",""affiliation"":""Universitätsklinikum Heidelberg Studienzentrum der Deutschen Gesellschaft für Chirurgie (SDGC)"",""telephone"":""[---]*"",""fax"":""[---]*"",""email"":""sdgc at med.uni-heidelberg.de"",""url"":""http://www.sdgc.de"",""name"":""""},{""label"":""Contact for Scientific Queries"",""affiliation"":""Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universitätsklinikum Heidelberg"",""telephone"":""+49 56 6986"",""fax"":""+49 56 6988"",""email"":""markus.diener at med.uni-heidelberg.de"",""url"":""http://www.klinikum.uni-heidelberg.de/Chirurgische-Klinik.83.0.html"",""name"":""Mr. Dr. med. Markus Diener""},{""label"":""Contact for Public Queries"",""affiliation"":""Studienzentrum der Deutschen Gesellschaft für Chirurgie-SDGC Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universität Heidelberg"",""telephone"":""+49 6221 56-6984"",""fax"":""+49 6221 56-6984"",""email"":""inga.rossion at med.uni-heidelberg.de"",""url"":""http://www.sdgc.de"",""name"":""Ms. Inga Rossion""}]"
DRKS00000005,4,10,2010-06-22,Recruiting ongoing,2007-01-01,NA,450,Actual,18 Years,no maximum age,"Both, male and female","[""Additional Inclusion Criteria"",""-Age equal or above 18 years\n-Expected survival time more than 12 month\n-Patients with at least one of the following pathologic diseases scheduled for elective resection:\n*Resectable malignancies of pancreatic body and/or tail\n*Resectable chronic pancreatitis of the body and/or tail\n*Resectable benigne tumours of the pancreas including neuroendocrine tumours\n*Resectable pseudocyst of the pancreatic body and/or tail""]","[""Exclusion Criteria"",""-Current immunosuppressive therapy\n-Chemotherapy within 2 weeks before operation\n-Radiotherapy within 8 weeks before operation\n-Curative resecion is not feasible\n-Severe psychiatric or neurologic diseases\n-Drug- and/or alcohol-abuse according to local standarts\n-Participation in another intervention trial with interference of intervention or outcome\n-Inability to follow instructions given by the investigator or interviewer\n-Expected lack of compliance\n-Lack of informed consent""]","[""Combined primary endpoint: presence of a pancreatic fistula and / or death due to any cause on day 7 postoperatively.""]","[""Secondary endpoints: operating time, frequency of burst abdomen, wound infection, and intraabdominal fluid collection and abscess, postoperative length of hospital stay, new onset of diabetes mellitus, one-year survival.""]","[{""label"":""Primary Sponsor"",""affiliation"":""Universitätsklinikum Heidelberg Studienzentrum der Deutschen Gesellschaft für Chirurgie (SDGC)"",""telephone"":""[---]*"",""fax"":""[---]*"",""email"":""sdgc at med.uni-heidelberg.de"",""url"":""http://www.sdgc.de"",""name"":""""},{""label"":""Contact for Scientific Queries"",""affiliation"":""Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universitätsklinikum Heidelberg"",""telephone"":""+49 56 6986"",""fax"":""+49 56 6988"",""email"":""markus.diener at med.uni-heidelberg.de"",""url"":""http://www.klinikum.uni-heidelberg.de/Chirurgische-Klinik.83.0.html"",""name"":""Mr. Dr. med. Markus Diener""},{""label"":""Contact for Public Queries"",""affiliation"":""Studienzentrum der Deutschen Gesellschaft für Chirurgie-SDGC Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universität Heidelberg"",""telephone"":""+49 6221 56-6984"",""fax"":""+49 6221 56-6984"",""email"":""inga.rossion at med.uni-heidelberg.de"",""url"":""http://www.sdgc.de"",""name"":""Ms. Inga Rossion""}]"
DRKS00000005,5,10,2012-09-05,Recruiting ongoing,2007-01-01,NA,450,Actual,18 Years,no maximum age,"Both, male and female","[""Additional Inclusion Criteria"",""-Age equal or above 18 years\n-Expected survival time more than 12 month\n-Patients with at least one of the following pathologic diseases scheduled for elective resection:\n*Resectable malignancies of pancreatic body and/or tail\n*Resectable chronic pancreatitis of the body and/or tail\n*Resectable benigne tumours of the pancreas including neuroendocrine tumours\n*Resectable pseudocyst of the pancreatic body and/or tail""]","[""Exclusion Criteria"",""-Current immunosuppressive therapy\n-Chemotherapy within 2 weeks before operation\n-Radiotherapy within 8 weeks before operation\n-Curative resecion is not feasible\n-Severe psychiatric or neurologic diseases\n-Drug- and/or alcohol-abuse according to local standarts\n-Participation in another intervention trial with interference of intervention or outcome\n-Inability to follow instructions given by the investigator or interviewer\n-Expected lack of compliance\n-Lack of informed consent""]","[""Combined primary endpoint: presence of a pancreatic fistula and / or death due to any cause on day 7 postoperatively.""]","[""Secondary endpoints: operating time, frequency of burst abdomen, wound infection, and intraabdominal fluid collection and abscess, postoperative length of hospital stay, new onset of diabetes mellitus, one-year survival.""]","[{""label"":""Primary Sponsor"",""affiliation"":""Universitätsklinikum Heidelberg Studienzentrum der Deutschen Gesellschaft für Chirurgie (SDGC)"",""telephone"":""[---]*"",""fax"":""[---]*"",""email"":""sdgc at med.uni-heidelberg.de"",""url"":""http://www.sdgc.de"",""name"":""""},{""label"":""Contact for Scientific Queries"",""affiliation"":""Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universitätsklinikum Heidelberg"",""telephone"":""+49 56 6986"",""fax"":""+49 56 6988"",""email"":""markus.diener at med.uni-heidelberg.de"",""url"":""http://www.klinikum.uni-heidelberg.de/Chirurgische-Klinik.83.0.html"",""name"":""Mr. Dr. med. Markus Diener""},{""label"":""Contact for Public Queries"",""affiliation"":""Studienzentrum der Deutschen Gesellschaft für Chirurgie-SDGC Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universität Heidelberg"",""telephone"":""+49 6221 56-6984"",""fax"":""+49 6221 56-6984"",""email"":""inga.rossion at med.uni-heidelberg.de"",""url"":""http://www.sdgc.de"",""name"":""Ms. Inga Rossion""}]"
DRKS00000005,6,10,2012-12-19,Recruiting ongoing,2007-01-01,NA,450,Actual,18 Years,no maximum age,"Both, male and female","[""Additional Inclusion Criteria"",""-Age equal or above 18 years\n-Expected survival time more than 12 month\n-Patients with at least one of the following pathologic diseases scheduled for elective resection:\n*Resectable malignancies of pancreatic body and/or tail\n*Resectable chronic pancreatitis of the body and/or tail\n*Resectable benigne tumours of the pancreas including neuroendocrine tumours\n*Resectable pseudocyst of the pancreatic body and/or tail""]","[""Exclusion Criteria"",""-Current immunosuppressive therapy\n-Chemotherapy within 2 weeks before operation\n-Radiotherapy within 8 weeks before operation\n-Curative resecion is not feasible\n-Severe psychiatric or neurologic diseases\n-Drug- and/or alcohol-abuse according to local standarts\n-Participation in another intervention trial with interference of intervention or outcome\n-Inability to follow instructions given by the investigator or interviewer\n-Expected lack of compliance\n-Lack of informed consent""]","[""Combined primary endpoint: presence of a pancreatic fistula and / or death due to any cause on day 7 postoperatively.""]","[""Secondary endpoints: operating time, frequency of burst abdomen, wound infection, and intraabdominal fluid collection and abscess, postoperative length of hospital stay, new onset of diabetes mellitus, one-year survival.""]","[{""label"":""Primary Sponsor"",""affiliation"":""Universitätsklinikum Heidelberg Studienzentrum der Deutschen Gesellschaft für Chirurgie (SDGC)"",""telephone"":""[---]*"",""fax"":""[---]*"",""email"":""sdgc at med.uni-heidelberg.de"",""url"":""http://www.sdgc.de"",""name"":""""},{""label"":""Contact for Scientific Queries"",""affiliation"":""Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universitätsklinikum Heidelberg"",""telephone"":""+49 56 6986"",""fax"":""+49 56 6988"",""email"":""markus.diener at med.uni-heidelberg.de"",""url"":""http://www.klinikum.uni-heidelberg.de/Chirurgische-Klinik.83.0.html"",""name"":""Mr. Dr. med. Markus Diener""},{""label"":""Contact for Public Queries"",""affiliation"":""Studienzentrum der Deutschen Gesellschaft für Chirurgie-SDGC Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universität Heidelberg"",""telephone"":""+49 6221 56-6984"",""fax"":""+49 6221 56-6984"",""email"":""inga.rossion at med.uni-heidelberg.de"",""url"":""http://www.sdgc.de"",""name"":""Ms. Inga Rossion""}]"
DRKS00000005,7,10,2013-01-10,Recruiting ongoing,2007-01-01,NA,450,Actual,18 Years,no maximum age,"Both, male and female","[""Additional Inclusion Criteria"",""-Age equal or above 18 years\n-Expected survival time more than 12 month\n-Patients with at least one of the following pathologic diseases scheduled for elective resection:\n*Resectable malignancies of pancreatic body and/or tail\n*Resectable chronic pancreatitis of the body and/or tail\n*Resectable benigne tumours of the pancreas including neuroendocrine tumours\n*Resectable pseudocyst of the pancreatic body and/or tail""]","[""Exclusion Criteria"",""-Current immunosuppressive therapy\n-Chemotherapy within 2 weeks before operation\n-Radiotherapy within 8 weeks before operation\n-Curative resecion is not feasible\n-Severe psychiatric or neurologic diseases\n-Drug- and/or alcohol-abuse according to local standarts\n-Participation in another intervention trial with interference of intervention or outcome\n-Inability to follow instructions given by the investigator or interviewer\n-Expected lack of compliance\n-Lack of informed consent""]","[""Combined primary endpoint: presence of a pancreatic fistula and / or death due to any cause on day 7 postoperatively.""]","[""Secondary endpoints: operating time, frequency of burst abdomen, wound infection, and intraabdominal fluid collection and abscess, postoperative length of hospital stay, new onset of diabetes mellitus, one-year survival.""]","[{""label"":""Primary Sponsor"",""affiliation"":""Universitätsklinikum Heidelberg Studienzentrum der Deutschen Gesellschaft für Chirurgie (SDGC)"",""telephone"":""[---]*"",""fax"":""[---]*"",""email"":""sdgc at med.uni-heidelberg.de"",""url"":""http://www.sdgc.de"",""name"":""""},{""label"":""Contact for Scientific Queries"",""affiliation"":""Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universitätsklinikum Heidelberg"",""telephone"":""+49 56 6986"",""fax"":""+49 56 6988"",""email"":""markus.diener at med.uni-heidelberg.de"",""url"":""http://www.klinikum.uni-heidelberg.de/Chirurgische-Klinik.83.0.html"",""name"":""Mr. Dr. med. Markus Diener""},{""label"":""Contact for Public Queries"",""affiliation"":""Studienzentrum der Deutschen Gesellschaft für Chirurgie-SDGC Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universität Heidelberg"",""telephone"":""+49 6221 56-6984"",""fax"":""+49 6221 56-6984"",""email"":""inga.rossion at med.uni-heidelberg.de"",""url"":""http://www.sdgc.de"",""name"":""Ms. Inga Rossion""}]"
DRKS00000005,8,10,2013-08-19,"Recruiting complete, follow-up complete",2007-01-01,2009-07-03,450,Actual,18 Years,no maximum age,"Both, male and female","[""Additional Inclusion Criteria"",""-Age equal or above 18 years\n-Expected survival time more than 12 month\n-Patients with at least one of the following pathologic diseases scheduled for elective resection:\n*Resectable malignancies of pancreatic body and/or tail\n*Resectable chronic pancreatitis of the body and/or tail\n*Resectable benigne tumours of the pancreas including neuroendocrine tumours\n*Resectable pseudocyst of the pancreatic body and/or tail""]","[""Exclusion Criteria"",""-Current immunosuppressive therapy\n-Chemotherapy within 2 weeks before operation\n-Radiotherapy within 8 weeks before operation\n-Curative resecion is not feasible\n-Severe psychiatric or neurologic diseases\n-Drug- and/or alcohol-abuse according to local standarts\n-Participation in another intervention trial with interference of intervention or outcome\n-Inability to follow instructions given by the investigator or interviewer\n-Expected lack of compliance\n-Lack of informed consent""]","[""Combined primary endpoint: presence of a pancreatic fistula and / or death due to any cause on day 7 postoperatively.""]","[""Secondary endpoints: operating time, frequency of burst abdomen, wound infection, and intraabdominal fluid collection and abscess, postoperative length of hospital stay, new onset of diabetes mellitus, one-year survival.""]","[{""label"":""Primary Sponsor"",""affiliation"":""Universitätsklinikum Heidelberg Studienzentrum der Deutschen Gesellschaft für Chirurgie (SDGC)"",""telephone"":""[---]*"",""fax"":""[---]*"",""email"":""sdgc at med.uni-heidelberg.de"",""url"":""http://www.sdgc.de"",""name"":""""},{""label"":""Contact for Scientific Queries"",""affiliation"":""Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universitätsklinikum Heidelberg"",""telephone"":""+49 56 6986"",""fax"":""+49 56 6988"",""email"":""markus.diener at med.uni-heidelberg.de"",""url"":""http://www.klinikum.uni-heidelberg.de/Chirurgische-Klinik.83.0.html"",""name"":""Mr. Dr. med. Markus Diener""},{""label"":""Contact for Public Queries"",""affiliation"":""Studienzentrum der Deutschen Gesellschaft für Chirurgie-SDGC Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universität Heidelberg"",""telephone"":""+49 6221 56-6984"",""fax"":""+49 6221 56-6984"",""email"":""inga.rossion at med.uni-heidelberg.de"",""url"":""http://www.sdgc.de"",""name"":""Ms. Inga Rossion""}]"
DRKS00000005,9,10,2013-10-17,"Recruiting complete, follow-up complete",2007-01-01,2009-07-03,450,Actual,18 Years,no maximum age,"Both, male and female","[""Additional Inclusion Criteria"",""-Age equal or above 18 years\n-Expected survival time more than 12 month\n-Patients with at least one of the following pathologic diseases scheduled for elective resection:\n*Resectable malignancies of pancreatic body and/or tail\n*Resectable chronic pancreatitis of the body and/or tail\n*Resectable benigne tumours of the pancreas including neuroendocrine tumours\n*Resectable pseudocyst of the pancreatic body and/or tail""]","[""Exclusion Criteria"",""-Current immunosuppressive therapy\n-Chemotherapy within 2 weeks before operation\n-Radiotherapy within 8 weeks before operation\n-Curative resecion is not feasible\n-Severe psychiatric or neurologic diseases\n-Drug- and/or alcohol-abuse according to local standarts\n-Participation in another intervention trial with interference of intervention or outcome\n-Inability to follow instructions given by the investigator or interviewer\n-Expected lack of compliance\n-Lack of informed consent""]","[""Combined primary endpoint: presence of a pancreatic fistula and / or death due to any cause on day 7 postoperatively.""]","[""Secondary endpoints: operating time, frequency of burst abdomen, wound infection, and intraabdominal fluid collection and abscess, postoperative length of hospital stay, new onset of diabetes mellitus, one-year survival.""]","[{""label"":""Primary Sponsor"",""affiliation"":""Universitätsklinikum Heidelberg Studienzentrum der Deutschen Gesellschaft für Chirurgie (SDGC)"",""telephone"":""[---]*"",""fax"":""[---]*"",""email"":""sdgc at med.uni-heidelberg.de"",""url"":""http://www.sdgc.de"",""name"":""""},{""label"":""Contact for Scientific Queries"",""affiliation"":""Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universitätsklinikum Heidelberg"",""telephone"":""+49 56 6986"",""fax"":""+49 56 6988"",""email"":""markus.diener at med.uni-heidelberg.de"",""url"":""http://www.klinikum.uni-heidelberg.de/Chirurgische-Klinik.83.0.html"",""name"":""Mr. Dr. med. Markus Diener""},{""label"":""Contact for Public Queries"",""affiliation"":""Studienzentrum der Deutschen Gesellschaft für Chirurgie-SDGC Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universität Heidelberg"",""telephone"":""+49 6221 56-6984"",""fax"":""+49 6221 56-6984"",""email"":""inga.rossion at med.uni-heidelberg.de"",""url"":""http://www.sdgc.de"",""name"":""Ms. Inga Rossion""}]"
DRKS00000005,10,10,2014-05-21,"Recruiting complete, follow-up complete",2007-01-01,2009-07-03,450,Actual,18 Years,no maximum age,"Both, male and female","[""Additional Inclusion Criteria"",""-Age equal or above 18 years\n-Expected survival time more than 12 month\n-Patients with at least one of the following pathologic diseases scheduled for elective resection:\n*Resectable malignancies of pancreatic body and/or tail\n*Resectable chronic pancreatitis of the body and/or tail\n*Resectable benigne tumours of the pancreas including neuroendocrine tumours\n*Resectable pseudocyst of the pancreatic body and/or tail""]","[""Exclusion Criteria"",""-Current immunosuppressive therapy\n-Chemotherapy within 2 weeks before operation\n-Radiotherapy within 8 weeks before operation\n-Curative resecion is not feasible\n-Severe psychiatric or neurologic diseases\n-Drug- and/or alcohol-abuse according to local standarts\n-Participation in another intervention trial with interference of intervention or outcome\n-Inability to follow instructions given by the investigator or interviewer\n-Expected lack of compliance\n-Lack of informed consent""]","[""Combined primary endpoint: presence of a pancreatic fistula and / or death due to any cause on day 7 postoperatively.""]","[""Secondary endpoints: operating time, frequency of burst abdomen, wound infection, and intraabdominal fluid collection and abscess, postoperative length of hospital stay, new onset of diabetes mellitus, one-year survival.""]","[{""label"":""Primary Sponsor"",""affiliation"":""Universitätsklinikum Heidelberg Studienzentrum der Deutschen Gesellschaft für Chirurgie (SDGC)"",""telephone"":""[---]*"",""fax"":""[---]*"",""email"":""sdgc at med.uni-heidelberg.de"",""url"":""http://www.sdgc.de"",""name"":""""},{""label"":""Contact for Scientific Queries"",""affiliation"":""Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universitätsklinikum Heidelberg"",""telephone"":""+49 56 6986"",""fax"":""+49 56 6988"",""email"":""markus.diener at med.uni-heidelberg.de"",""url"":""http://www.klinikum.uni-heidelberg.de/Chirurgische-Klinik.83.0.html"",""name"":""Mr. Dr. med. Markus Diener""},{""label"":""Contact for Public Queries"",""affiliation"":""Studienzentrum der Deutschen Gesellschaft für Chirurgie-SDGC Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universität Heidelberg"",""telephone"":""+49 6221 56-6984"",""fax"":""+49 6221 56-6984"",""email"":""inga.rossion at med.uni-heidelberg.de"",""url"":""http://www.sdgc.de"",""name"":""Ms. Inga Rossion""}]"
